time,t2m_c,rh_pct,wind_speed_ms,swvl1,precip_30d_mm,compound_flags
2024-06-19,29.174,32.791,0.896,0.199,22.186,4
2024-06-20,29.681,35.110,2.055,0.194,20.629,4
2024-06-22,30.557,33.426,0.965,0.187,19.473,4
2024-04-06,18.540,37.551,1.290,0.324,,3
2024-04-09,19.602,39.468,0.767,0.308,,3
2024-04-14,20.592,35.838,0.550,0.284,,3
2024-04-15,21.322,32.253,2.746,0.278,,3
2024-06-18,26.943,41.714,0.367,0.204,25.279,3
2024-06-21,29.264,39.654,1.146,0.191,19.793,3
2024-06-23,29.801,36.272,0.740,0.185,21.931,3
2024-08-13,31.314,25.762,0.426,0.172,12.158,3
2024-08-15,31.863,24.733,0.972,0.171,12.253,3
2024-08-16,31.866,20.236,1.378,0.170,12.251,3
2024-08-17,30.773,26.876,1.072,0.170,11.917,3
2024-04-01,20.443,33.008,2.497,0.352,,2
