time,t2m_c,rh_pct,wind_speed_ms,swvl1,precip_30d_mm,compound_flags
2026-08-12,28.967,24.397,2.879,0.171,11.926,4
2026-06-29,27.105,35.450,2.708,0.210,30.774,4
2026-07-21,30.339,29.261,2.393,0.177,19.016,3
2026-07-20,30.941,27.902,1.824,0.178,19.013,3
2026-06-30,28.019,35.587,2.338,0.203,32.102,3
2026-08-11,29.466,28.498,1.532,0.171,11.976,2
2026-07-19,29.690,28.462,2.294,0.180,18.821,2
2026-05-03,10.087,38.306,3.081,0.338,41.073,2
2026-05-02,9.492,38.480,3.322,0.344,44.357,2
2026-04-29,17.221,45.405,2.051,0.322,66.106,2
2026-04-28,17.154,41.666,0.466,0.327,65.958,2
2026-04-20,14.419,50.997,3.241,0.309,,2
2026-08-20,29.324,30.938,0.969,0.179,14.569,1
2026-08-14,24.840,48.458,1.974,0.173,15.709,1
2026-08-13,27.259,28.406,2.265,0.170,11.935,1
